,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User name
73,-0.3182,Wed May 23 16:02:07 +0000 2018,0.113,0.887,0.0,"After the alleged payment to Cohen for White House talks, Ukraine’s Anti Corruption Bureau drops Paul Manafort inve… https://t.co/uZrdnv8IBK",74,@BBCBreaking
74,0.4767,Wed May 23 16:01:05 +0000 2018,0.0,0.838,0.162,"Cohen received at least $400,000 to fix talks between Ukraine’s Poroshenko and President Trump – intelligence sourc… https://t.co/WAWUjJQmHP",75,@BBCBreaking
75,0.128,Wed May 23 16:00:22 +0000 2018,0.0,0.919,0.081,"BBC Exclusive: Trump lawyer Michael Cohen “paid by Ukraine” to arrange White House talks in June 2017

https://t.co/NsfSjRzEzJ",76,@BBCBreaking
76,0.0772,Wed May 23 09:39:42 +0000 2018,0.0,0.933,0.067,"Berlinah Wallace given life sentence with minimum term of 12 years for throwing sulphuric acid over former partner,… https://t.co/hu686gzzht",77,@BBCBreaking
77,0.2263,Wed May 23 08:33:28 +0000 2018,0.0,0.909,0.091,"RT @BBCSport: 🔴 Confirmed 🔴

Arsenal have announced Unai Emery as Arsene Wenger's successor.

More here👉 https://t.co/x1kOq2Nos3 https://t.…",78,@BBCBreaking
78,0.0,Wed May 23 06:43:25 +0000 2018,0.0,1.0,0.0,"""There has been a change in customer shopping habits"" - Marks and Spencer Chief Executive Steve Rowe on 62% fall in… https://t.co/3bTbpSQHid",79,@BBCBreaking
79,0.128,Wed May 23 06:36:32 +0000 2018,0.14,0.7,0.16,"""The great American novelist of our postwar world"" - Tributes paid to novelist Philip Roth, who has died aged 85 https://t.co/vaxhh5ZPCe",80,@BBCBreaking
80,-0.2263,Tue May 22 16:29:42 +0000 2018,0.106,0.894,0.0,President Trump says his historic summit with North Korea's Kim Jong-un next month may be delayed https://t.co/bzBWdJINR0,81,@BBCBreaking
81,-0.2732,Tue May 22 14:46:03 +0000 2018,0.123,0.877,0.0,"Supermarket giant Tesco plans to close its Tesco Direct website, putting 500 jobs at risk https://t.co/QiEbKrn4aG",82,@BBCBreaking
82,-0.6597,Tue May 22 13:35:06 +0000 2018,0.278,0.722,0.0,UK holds a minute's silence to remember the victims of the #ManchesterArena attack one year on… https://t.co/pV1AULBovR,83,@BBCBreaking
83,0.0,Tue May 22 09:01:07 +0000 2018,0.0,1.0,0.0,"Marks and Spencer to close 100 stores by 2022 saying reorganisation ""vital"" for firm's future https://t.co/2LBhVTOMgD",84,@BBCBreaking
84,0.0,Mon May 21 18:52:56 +0000 2018,0.0,1.0,0.0,"RT @BBCSport: Arsenal are set to appoint Unai Emery as their new manager.

Read more
👉 https://t.co/Z4g4asmx3i #Arsenal https://t.co/hxcv73…",85,@BBCBreaking
85,0.2023,Mon May 21 16:54:11 +0000 2018,0.114,0.723,0.163,"Ken Livingstone says he is resigning from the Labour party amid anti-Semitism row
https://t.co/Pv17B4rd7I",86,@BBCBreaking
